stage,metric,value,ci_lower,ci_upper
search,true_positives,344,,
search,false_negatives,1,,
search,false_positives,725,,
search,recall,0.9971014492753624,0.9837661263543445,0.9994881644183156
search,precision,0.32179607109448083,0.2944719422838136,0.35039641479704536
abstract,true_positives,324,,
abstract,false_negatives,20,,
abstract,false_positives,401,,
abstract,recall_in_search,0.9418604651162791,0.9119089755769025,0.9620520457615458
abstract,recall_all_meta,0.9391304347826087,0.9087424965854225,0.9598465707735162
abstract,precision,0.44689655172413795,0.4110804377383613,0.483272464181617
fulltext,true_positives,289,,
fulltext,false_negatives,54,,
fulltext,false_positives,251,,
fulltext,additional_false_negatives,34,,
fulltext,recall_in_search,0.8425655976676385,0.8002537291292153,0.8772889877767152
fulltext,recall_all_meta,0.8376811594202899,0.7950882164209313,0.8728367099639952
fulltext,precision,0.5351851851851852,0.4930168131343669,0.5768564734990942
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,343,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.011075949367088606
fulltext_with_coords,recall_all_meta,0.0,0,0.011012448056653792
fulltext_with_coords,precision,0,0.0,0.0
