stage,metric,value,ci_lower,ci_upper
search,true_positives,344,,
search,false_negatives,1,,
search,false_positives,148,,
search,recall,0.9971014492753624,0.9837661263543445,0.9994881644183156
search,precision,0.6991869918699187,0.6572469883992575,0.7380405389078502
abstract,true_positives,324,,
abstract,false_negatives,20,,
abstract,false_positives,60,,
abstract,recall_in_search,0.9418604651162791,0.9119089755769025,0.9620520457615458
abstract,recall_all_meta,0.9391304347826087,0.9087424965854225,0.9598465707735162
abstract,precision,0.84375,0.8040486026829152,0.8766416584958754
fulltext,true_positives,292,,
fulltext,false_negatives,51,,
fulltext,false_positives,44,,
fulltext,additional_false_negatives,31,,
fulltext,recall_in_search,0.8513119533527697,0.8097760069207206,0.885065672970042
fulltext,recall_all_meta,0.8463768115942029,0.804530489851446,0.8805942200455386
fulltext,precision,0.8690476190476191,0.8287669740085828,0.9009847691564683
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,343,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.011075949367088606
fulltext_with_coords,recall_all_meta,0.0,0,0.011012448056653792
fulltext_with_coords,precision,0,0.0,0.0
