stage,metric,value,ci_lower,ci_upper
search,true_positives,314,,
search,false_negatives,31,,
search,false_positives,127,,
search,recall,0.9101449275362319,0.875280062888179,0.9359763927638991
search,precision,0.7120181405895691,0.6680668061178329,0.7523075473598994
abstract,true_positives,299,,
abstract,false_negatives,15,,
abstract,false_positives,58,,
abstract,recall_in_search,0.9522292993630573,0.9226869656700801,0.9708398728557769
abstract,recall_all_meta,0.8666666666666667,0.8267281538644072,0.8985293842273799
abstract,precision,0.8375350140056023,0.7957113727216103,0.8721717094950743
fulltext,true_positives,67,,
fulltext,false_negatives,26,,
fulltext,false_positives,14,,
fulltext,additional_false_negatives,11,,
fulltext,recall_in_search,0.7204301075268817,0.6218738745625855,0.8014978995510186
fulltext,recall_all_meta,0.19420289855072465,0.15592124765123033,0.23921969884138977
fulltext,precision,0.8271604938271605,0.7305366228248568,0.894156923737207
fulltext_with_coords,true_positives,30,,
fulltext_with_coords,false_negatives,63,,
fulltext_with_coords,false_positives,3,,
fulltext_with_coords,recall_in_search,0.3225806451612903,0.23624803528547356,0.4229893172572353
fulltext_with_coords,recall_all_meta,0.08695652173913043,0.061588186650324485,0.12142209652691122
fulltext_with_coords,precision,0.9090909090909091,0.7642705646564897,0.968596628950737
