stage,metric,value,ci_lower,ci_upper
search,true_positives,314,,
search,false_negatives,31,,
search,false_positives,685,,
search,recall,0.9101449275362319,0.875280062888179,0.9359763927638991
search,precision,0.31431431431431434,0.2862835852572789,0.3437676611210124
abstract,true_positives,299,,
abstract,false_negatives,15,,
abstract,false_positives,398,,
abstract,recall_in_search,0.9522292993630573,0.9226869656700801,0.9708398728557769
abstract,recall_all_meta,0.8666666666666667,0.8267281538644072,0.8985293842273799
abstract,precision,0.42898134863701576,0.3927256083926646,0.46601565354155855
fulltext,true_positives,67,,
fulltext,false_negatives,26,,
fulltext,false_positives,90,,
fulltext,additional_false_negatives,11,,
fulltext,recall_in_search,0.7204301075268817,0.6218738745625855,0.8014978995510186
fulltext,recall_all_meta,0.19420289855072465,0.15592124765123033,0.23921969884138977
fulltext,precision,0.4267515923566879,0.3520419103601061,0.5049602582330938
fulltext_with_coords,true_positives,30,,
fulltext_with_coords,false_negatives,63,,
fulltext_with_coords,false_positives,33,,
fulltext_with_coords,recall_in_search,0.3225806451612903,0.23624803528547356,0.4229893172572353
fulltext_with_coords,recall_all_meta,0.08695652173913043,0.061588186650324485,0.12142209652691122
fulltext_with_coords,precision,0.47619047619047616,0.35781921387369653,0.5972985570952808
