stage,metric,value,ci_lower,ci_upper
search,true_positives,230,,
search,false_negatives,0,,
search,false_positives,255,,
search,recall,1.0,0.9835717853452937,1
search,precision,0.4742268041237113,0.43016349473324417,0.518695194870914
abstract,true_positives,228,,
abstract,false_negatives,2,,
abstract,false_positives,152,,
abstract,recall_in_search,0.991304347826087,0.9688540486373068,0.9976121404411121
abstract,recall_all_meta,0.991304347826087,0.9688540486373068,0.9976121404411121
abstract,precision,0.6,0.5499788432694918,0.6480194977128301
fulltext,true_positives,61,,
fulltext,false_negatives,5,,
fulltext,false_positives,57,,
fulltext,additional_false_negatives,3,,
fulltext,recall_in_search,0.9242424242424242,0.834605945487485,0.9672084459353918
fulltext,recall_all_meta,0.26521739130434785,0.2123614873921517,0.32578741340223233
fulltext,precision,0.5169491525423728,0.4276814843920897,0.6051480253976701
fulltext_with_coords,true_positives,37,,
fulltext_with_coords,false_negatives,29,,
fulltext_with_coords,false_positives,12,,
fulltext_with_coords,recall_in_search,0.5606060606060606,0.4408242143005392,0.6737206987598716
fulltext_with_coords,recall_all_meta,0.1608695652173913,0.1190204850878151,0.21386126050407273
fulltext_with_coords,precision,0.7551020408163265,0.619134127396842,0.8539779661052471
