stage,metric,value,ci_lower,ci_upper
search,true_positives,219,,
search,false_negatives,11,,
search,false_positives,227,,
search,recall,0.9521739130434783,0.9164029258574279,0.9730880800200551
search,precision,0.4910313901345291,0.4449095754717498,0.5373063867691811
abstract,true_positives,218,,
abstract,false_negatives,1,,
abstract,false_positives,143,,
abstract,recall_in_search,0.9954337899543378,0.9745923467541101,0.9991935172856382
abstract,recall_all_meta,0.9478260869565217,0.9110322236493205,0.9699059840947251
abstract,precision,0.6038781163434903,0.5525852148578301,0.652983448364785
fulltext,true_positives,208,,
fulltext,false_negatives,2,,
fulltext,false_positives,91,,
fulltext,additional_false_negatives,1,,
fulltext,recall_in_search,0.9904761904761905,0.9659454811957657,0.997384385397077
fulltext,recall_all_meta,0.9043478260869565,0.8594270152256304,0.9359832111840419
fulltext,precision,0.6956521739130435,0.641287068427676,0.7450535135795516
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,210,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.017964699104383804
fulltext_with_coords,recall_all_meta,0.0,0,0.01642821465470643
fulltext_with_coords,precision,0,0.0,0.0
