stage,metric,value,ci_lower,ci_upper
search,true_positives,216,,
search,false_negatives,14,,
search,false_positives,225,,
search,recall,0.9391304347826087,0.900433712169112,0.963398899308059
search,precision,0.4897959183673469,0.443428907369439,0.5363391718749482
abstract,true_positives,215,,
abstract,false_negatives,1,,
abstract,false_positives,142,,
abstract,recall_in_search,0.9953703703703703,0.9742458312701834,0.9991823097186012
abstract,recall_all_meta,0.9347826086956522,0.8951968914476299,0.9600829218961037
abstract,precision,0.6022408963585434,0.5506405042057582,0.6516643298266814
fulltext,true_positives,42,,
fulltext,false_negatives,3,,
fulltext,false_positives,39,,
fulltext,additional_false_negatives,2,,
fulltext,recall_in_search,0.9333333333333333,0.8214312561135918,0.977068383537853
fulltext,recall_all_meta,0.1826086956521739,0.1380302155127564,0.23761552074631814
fulltext,precision,0.5185185185185185,0.4113545922111773,0.6240054198583734
fulltext_with_coords,true_positives,27,,
fulltext_with_coords,false_negatives,18,,
fulltext_with_coords,false_positives,6,,
fulltext_with_coords,recall_in_search,0.6,0.4545159420914473,0.7297532055204246
fulltext_with_coords,recall_all_meta,0.11739130434782609,0.08194385641129473,0.16540990784621978
fulltext_with_coords,precision,0.8181818181818182,0.656114329507048,0.9138934877430174
