stage,metric,value,ci_lower,ci_upper
search,true_positives,289,,
search,false_negatives,20,,
search,false_positives,710,,
search,recall,0.9352750809061489,0.9021464357593588,0.9577136340011846
search,precision,0.28928928928928926,0.262020666718101,0.31817225706966357
abstract,true_positives,287,,
abstract,false_negatives,2,,
abstract,false_positives,410,,
abstract,recall_in_search,0.9930795847750865,0.9751222274562773,0.99810015624877
abstract,recall_all_meta,0.9288025889967637,0.8945583733912236,0.9525156730271557
abstract,precision,0.4117647058823529,0.37580784610355944,0.4486888732692632
fulltext,true_positives,84,,
fulltext,false_negatives,4,,
fulltext,false_positives,96,,
fulltext,additional_false_negatives,2,,
fulltext,recall_in_search,0.9545454545454546,0.888880924960137,0.9821840390648802
fulltext,recall_all_meta,0.27184466019417475,0.22526460392563707,0.3240280732630745
fulltext,precision,0.4666666666666667,0.39524296450687024,0.5394834521474671
fulltext_with_coords,true_positives,32,,
fulltext_with_coords,false_negatives,56,,
fulltext_with_coords,false_positives,35,,
fulltext_with_coords,recall_in_search,0.36363636363636365,0.27079145605030686,0.4678890547421881
fulltext_with_coords,recall_all_meta,0.10355987055016182,0.07431517205408017,0.1425408982383618
fulltext_with_coords,precision,0.47761194029850745,0.36250188635242525,0.5951501147316833
