stage,metric,value,ci_lower,ci_upper
search,true_positives,310,,
search,false_negatives,0,,
search,false_positives,182,,
search,recall,1.0,0.98775943023487,1
search,precision,0.6300813008130082,0.586566705584001,0.6715802510247225
abstract,true_positives,309,,
abstract,false_negatives,1,,
abstract,false_positives,75,,
abstract,recall_in_search,0.9967741935483871,0.981956435278157,0.9994303534713268
abstract,recall_all_meta,0.9967741935483871,0.981956435278157,0.9994303534713268
abstract,precision,0.8046875,0.7620987967855478,0.8412402983501984
fulltext,true_positives,307,,
fulltext,false_negatives,2,,
fulltext,false_positives,29,,
fulltext,additional_false_negatives,1,,
fulltext,recall_in_search,0.9935275080906149,0.9767110316336969,0.9982232482063245
fulltext,recall_all_meta,0.9903225806451613,0.9719379945585772,0.996703511220134
fulltext,precision,0.9136904761904762,0.878793040498005,0.9392351232112054
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,309,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.01227969681781451
fulltext_with_coords,recall_all_meta,0.0,0,0.012240569765129924
fulltext_with_coords,precision,0,0.0,0.0
