stage,metric,value,ci_lower,ci_upper
search,true_positives,281,,
search,false_negatives,0,,
search,false_positives,211,,
search,recall,1.0,0.9865132059362116,1
search,precision,0.5711382113821138,0.5270209636099736,0.6141531532854221
abstract,true_positives,280,,
abstract,false_negatives,1,,
abstract,false_positives,104,,
abstract,recall_in_search,0.99644128113879,0.9801202211852835,0.9993715384453321
abstract,recall_all_meta,0.99644128113879,0.9801202211852835,0.9993715384453321
abstract,precision,0.7291666666666666,0.6826109457869329,0.7711825616655941
fulltext,true_positives,272,,
fulltext,false_negatives,8,,
fulltext,false_positives,64,,
fulltext,additional_false_negatives,7,,
fulltext,recall_in_search,0.9714285714285714,0.9446432980373222,0.9854529246446243
fulltext,recall_all_meta,0.9679715302491103,0.9402600821187398,0.9830601070671093
fulltext,precision,0.8095238095238095,0.7641289048475332,0.8479209442586387
fulltext_with_coords,true_positives,0,,
fulltext_with_coords,false_negatives,280,,
fulltext_with_coords,false_positives,0,,
fulltext_with_coords,recall_in_search,0.0,0,0.013534309276723356
fulltext_with_coords,recall_all_meta,0.0,0,0.013486794063788433
fulltext_with_coords,precision,0,0.0,0.0
