stage,metric,value,ci_lower,ci_upper
search,true_positives,216,,
search,false_negatives,14,,
search,false_positives,783,,
search,recall,0.9391304347826087,0.900433712169112,0.963398899308059
search,precision,0.21621621621621623,0.19180114258867886,0.2428054792347477
abstract,true_positives,215,,
abstract,false_negatives,1,,
abstract,false_positives,482,,
abstract,recall_in_search,0.9953703703703703,0.9742458312701834,0.9991823097186012
abstract,recall_all_meta,0.9347826086956522,0.8951968914476299,0.9600829218961037
abstract,precision,0.3084648493543759,0.27530413032242146,0.3437253336819985
fulltext,true_positives,42,,
fulltext,false_negatives,3,,
fulltext,false_positives,115,,
fulltext,additional_false_negatives,2,,
fulltext,recall_in_search,0.9333333333333333,0.8214312561135918,0.977068383537853
fulltext,recall_all_meta,0.1826086956521739,0.1380302155127564,0.23761552074631814
fulltext,precision,0.267515923566879,0.2044319165806463,0.34170540112820524
fulltext_with_coords,true_positives,27,,
fulltext_with_coords,false_negatives,18,,
fulltext_with_coords,false_positives,36,,
fulltext_with_coords,recall_in_search,0.6,0.4545159420914473,0.7297532055204246
fulltext_with_coords,recall_all_meta,0.11739130434782609,0.08194385641129473,0.16540990784621978
fulltext_with_coords,precision,0.42857142857142855,0.3139672637328724,0.5513860491740598
